Claim,Answer,Answer Type,claim_ERE,answer_ERE,Label,Annotation,sim_claim_answer,sim_context+event_sub,sim_context+event_obj,pol_context+event_sub,pol_context+event_object,pearson_context+event_sub,pearson_context+event_obj,relation_claim_answer,Colonne 1,pol_claim_answer,relation_subject,relation_object
The low-cost steroid dexamethasone is a “life-saving” drug for COVID-19 patients.,Department of Health on Wednesday advised the public to be cautious in interpreting the preliminary study findings that steroid drug dexamethasone can reduce the risk of the sickest patients dying from coronavirus disease.,Extractive,"('dexamethasone', 'cause', 'life-saving drug for COVID-19 ')","('dexamethasone', 'prevent', 'reduce the risk')",,,0.672566294670105,0.7361293435096741,0.6826300621032715,PP,PN,,,,,NN, no relation., enable.
Herbal medicine from Tanzania cure Covid-19,"On May 3, the Tanzanian health ministry issued a statement clarifying that no medicine to cure Covid-19 is available as of now.",Abstractive,"('herbal medicine', 'enable', 'cure')","('medicine', 'prevent', 'cure')",Refuted,6.0,0.6875762343406677,0.6988195776939392,0.7248486280441284,PP,PP,0.8070444851930745,0.8070444851930745,cause,,PN, enable., intend.
"Denis Mukwege, a medical doctor and Nobel Peace laureate from the Democratic Republic of Congo, resigned from the Congolese government’s Coronavirus Response (Taskforce) Team because he was asked to manipulate numbers of COVID-19 patients.","Dr Denis Mukwege said he was quitting a special Commission for fighting Covid-19 in South Kivu, citing lack of facilitation from the government.
In a resignation note publicised on Wednesday, Dr Mukwege said the lack of laboratories for testing for the virus had frustrated the team’s work.",Extractive,"('asked to manipulate', 'cause', 'resigned')","('lack of facilitation from the government', 'cause', ' quitting')",Refuted,6.0,0.8096462488174438,0.705562174320221,0.7959601283073425,NN,NN,0.9065915805258342,0.9065915805258342,cause,,NN, prevent., intend.
Boy Scouts of America are committed to act against racial injustice.,The BSA have said they are committed to act against racial injustice.,Abstractive,"('act', 'prevent', 'racial injustice')","('act', 'prevent', 'racial injustice')",Supported,1.0,0.6862056255340576,0.6908135414123535,0.717610239982605,PP,NN,0.9274153228584154,0.9274153228584154,cause,,NN, no relation., cause.
Every single economy in the world has suffered a decline due to the Covid-19 pandemic.,"At least 18 countries had positive growth rates in the first quarter of 2020, but only two – Chile and Russia – grew when compared to the last quarter of 2019",Abstractive,"('covid-19 pandemic', 'cause', 'every single economy in the world has suffered a decline')","('countries', 'enable', ' positive growth rates')",Refuted,1.0,0.3957060575485229,0.4278879463672638,0.4487587809562683,PN,PN,0.770883906836616,0.770883906836616,cause,,PN, cause., no relation.
"President Donald Trump said the “when the looting starts, the shooting starts,” phrase has two meanings.","The “looting/shooting” phrase is traced back to Walter Headley, police chief of Miami from 1948 until his death in November 1968. In a press conference on Dec. 27, 1967, commenting on a new “get tough” policy he planned to institute to police the city’s black neighborhoods, Headley said: “We haven’t had any serious problems with civil uprising and looting because I’ve let the world filter down that when the looting starts, the shooting starts. These are my orders: Not three days after, but now. This is war. I meant it, every bit of it.”",Abstractive,"('looting', 'cause', 'shooting')","('“get tough” policy', 'prevent', 'looting')",Supported,1.0,0.7236558794975281,0.7353144884109497,0.7409259080886841,NN,NN,0.8598997829642769,0.8598997829642769,cause,,NN, enable., enable.
"President Donald Trump said the “when the looting starts, the shooting starts,” phrase has two meanings.","Yes Trump did say that statement.
When the looting starts, the shooting starts, phrase means two things, 1) If there’s looting, there’s probably going to be shooting.
2) It should not be taken as a threat, that’s just a fact, because that’s what happens. 
An example to this incident is that in 1967 , the African American men took advantage of the civil rights campaign and did a series of robberies 
in the African american community of Liberty city. At that time the police chiefs picked up this statement where the looting starts, the shooting starts . 
This phrase aimed to instill fear in African Americans. Trump’s use of the slogan retains that power, Pauley said, ""while simultaneously communicating a tough, law-and-order ethos to his supporters.",Extractive,"('looting', 'cause', 'shooting')","('looting', 'cause', 'shooting')",Supported,6.0,0.8118873834609985,0.8289942741394043,0.8113163113594055,NN,NN,0.8678087921572626,0.8678087921572626,cause,,NN, enable., intent.
Democratic assembly woman for the 143rd District of New York. Monica Wallace Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,"71,000 people had died of covid in the U.S between April 1st, to may 27th  2020",Abstractive,"('covid-19', 'cause', 'died')","('covid', 'cause', 'died')",Supported,1.0,0.4226941764354706,0.4000223577022552,0.43904510140419,PP,NN,0.8604860724315415,0.8604860724315415,cause,,NN, cause., no relation.
Wastewater can be an early indicator for a coronavirus outbreak.,"Research in the Netherlands, France, Australia and elsewhere has found signs that the virus that causes COVID-19 can be detected in sewage, and many countries are beginning to sample wastewater to track the disease.",Extractive,"('wastewater', 'cause', 'coronavirus outbreak')","('sample wastewater', 'enable', 'track disease')",Supported,6.0,0.7405433058738708,0.7544207572937012,0.7200767993927002,NN,NN,0.8510160747463082,0.8510160747463082,cause,,NN, enable., cause.
UV Rays from sunlight kill Corona virus.,UV radiation can cause skin irritation and damage your eyes,Extractive,"('uv rays', 'cause', 'kill Corona')","('uv radiation', 'cause', 'skin irritation')",Refuted,1.0,0.4757212400436401,0.4888936579227447,0.4496121406555176,PP,NN,0.8889109642388,0.8889109642388,cause,,NN, no relation., prevent.
The COVID-19 pandemic has helped bolster the relationship between China and Middle Eastern countries.,The surprising effect of the COVID-19 pandemic has been to foster comradeship between China and most Middle-Eastern states in combatting a common enemy,Extractive,"('covid-19 pandemic', 'cause', 'bolster the relationship between china and middle eastern countries')","('covid-19 pandemic', 'cause', 'foster comradeship between china and most middle-eastern states in combatting a common enemy')",Supported,1.0,0.8769041895866394,0.8775745630264282,0.8737472891807556,NN,PP,0.94503319906919,0.94503319906919,cause,,PP, no relation., enable.
The COVID-19 pandemic has helped bolster the relationship between China and Middle Eastern countries.,"Qatar Airways delivered some 300 tons of medical supplies to China, while the Saudis signed six contracts in early February to deliver medical supplies and devices to China.",Extractive,"('covid-19 pandemic', 'cause', 'bolster the relationship between china and middle eastern countries')","('signed', 'enable', 'delivered medical supplies')",Supported,6.0,0.4392831325531006,0.4587778449058532,0.4671615958213806,PN,PP,0.7636813615964826,0.7636813615964826,cause,,PN, prevent., enable.
Ultraviolet light could kill the coronavirus (SARS-CoV2),"far-UVC, which can kill viruses and bacteria without harming human skin, eyes and other tissues",Extractive,"('ultraviolet light', 'prevent', 'coronavirus')","('far-uvc', 'cause', 'kill viruses')",Supported,6.0,0.5784657001495361,0.5729605555534363,0.6260260939598083,PN,NN,0.8363321724142168,0.8363321724142168,cause,,NN, enable., prevent.
Ear loop face masks don't protect against Covid-19.,"A well-fitting mask keeps the virus from reaching others. It can also protect the wearer from becoming infected. Also, masks stop people from touching their mouths and faces.",Extractive,"('ear loop face masks', 'prevent', 'protect against covid-19')","('mask', 'prevent', 'infect')",Refuted,1.0,0.5954049825668335,0.59502112865448,0.6246559619903564,NN,PN,0.8261921602565607,0.8261921602565607,cause,,NN, enable., prevent.
Ear loop face masks don't protect against Covid-19.,"Yes while they might not prevent you from catching the virus they assist in stopping the spread by catching the majority of droplets.


From Source page:

""cloth masks are also effective at reducing the spread of these smaller particles""

""We can see directly that a piece of cloth blocks those droplets and the virus those droplets contain. People without symptoms who don’t even know they are sick are responsible for around half of the transmission of the virus.""

""This means that nearly any kind of simple cloth mask is great for source control. The mask creates humidity, this humidity prevents virus-containing droplets from turning into droplet nuclei, and this allows the fabric of the mask to block the droplets.""",Abstractive,"('ear loop face masks', 'prevent', 'protect against covid-19')","('masks', 'enable', 'stopping the spread')",Refuted,1.0,0.4816117286682129,0.5039544105529785,0.4962208271026611,NN,PP,0.7717321360889926,0.7717321360889926,cause,,NN, enable., prevent.
"If you wear a surgical mask for a long time, you will start feeling weak.","Retired neurosurgeon Dr. Russell Blaylock has highlighted a number of studies linking prolonged mask use to headaches and lowered blood oxygen levels, which can weaken the immune system.
The side effects vary depending on whether they are cloth or paper surgical masks or N95 respirator masks because the N95, being a more effective filter, also limits breathing to a greater degree, and is therefore more commonly associated with headaches, Blaylock reported.
…A third study measured the blood oxygen of 53 surgeons using an oximeter before and after surgery.
""The researchers found that the mask reduced the blood oxygen levels (pa02) significantly. The longer the duration of wearing the mask, the greater the fall in blood oxygen levels,"" Blaylock wrote.
The potential for masks to reduce oxygen levels in the wearer are important not only because this can lead to passing out, but also because they have been linked to reduced natural immunity.",Extractive,"('wear a surgical mask', 'cause', 'start feeling weak' )","('reduced the blood oxygen levels', 'cause', 'fall in blood oxygen levels')",Conflicting Evidence/Cherrypicking,1.0,0.6031819581985474,0.596220850944519,0.6137403249740601,NN,NN,0.7818740645985685,0.7818740645985685,cause,,NN, prevent., cause.
"If you wear a surgical mask for a long time, you will start feeling weak.","Prolonged use of N95 and surgical masks by healthcare professionals during COVID-19 has caused adverse effects such as headaches, rash, acne, skin breakdown, and impaired cognition in the majority of those surveyed.",Extractive,"('wear a surgical mask', 'cause', 'start feeling weak' )","('prolonged use of n95 and surgical masks by healthcare professionals during covid-19', 'cause', 'adverse effects')",Conflicting Evidence/Cherrypicking,1.0,0.4672097563743591,0.4356268644332886,0.4583696126937866,NN,NN,0.7292761790956206,0.7292761790956206,cause,,NN, enable., cause.
"If you wear a surgical mask for a long time, you will start feeling weak.","A study measured the blood oxygen of 53 surgeons using an oximeter before and after surgery.
""The researchers found that the mask reduced the blood oxygen levels (pa02) significantly. The longer the duration of wearing the mask, the greater the fall in blood oxygen levels,"" Blaylock wrote.
The potential for masks to reduce oxygen levels in the wearer are important not only because this can lead to passing out, but also because they have been linked to reduced natural immunity.",Extractive,"('wear a surgical mask', 'cause', 'start feeling weak' )","('mask', 'enable', 'reduce blood oxygen')",Conflicting Evidence/Cherrypicking,1.0,0.5684918165206909,0.5537477731704712,0.5820350646972656,NN,NN,0.800928602813805,0.800928602813805,cause,,NN, no relation., cause.
"If you wear a surgical mask for a long time, you will start feeling weak.","As a second wave of COVID-19 is expected, and in preparation for future pandemics, it is imperative to identify solutions to manage these adverse effects. Frequent breaks, improved hydration and rest, skin care, and potentially newly designed comfortable masks are recommendations for future management of adverse effects related to prolonged mask use.",Extractive,"('wear a surgical mask', 'cause', 'start feeling weak' )","('breaks', 'enable', 'manage')",Conflicting Evidence/Cherrypicking,1.0,0.5247427225112915,0.5291835069656372,0.5424008369445801,NN,PN,0.7706775722117243,0.7706775722117243,cause,,PN, prevent., enable.
"If you wear a surgical mask for a long time, you will start feeling weak.","For many years, health care providers have worn masks for extended periods of time with no adverse health reactions. The CDC recommends wearing cloth masks while in public, and this option is very breathable. There is no risk of hypoxia, which is lower oxygen levels, in healthy adults. Carbon dioxide will freely diffuse through your mask as you breathe.

If you feel uncomfortable in your mask, try to limit your talking and breathe through your nose. That will reduce the humidity level in your mask.",Extractive,"('wear a surgical mask', 'cause', 'start feeling weak' )","('breathing', 'cause', 'reduce')",Conflicting Evidence/Cherrypicking,6.0,0.4492712318897247,0.4998129606246948,0.4950209259986877,PN,NN,0.8455930062927877,0.8455930062927877,cause,,NN, prevent., prevent.
"If you wear a surgical mask for a long time, you will start feeling weak.","For many years, health care providers have worn masks for extended periods of time with no adverse health reactions.",Extractive,"('wear a surgical mask', 'cause', 'start feeling weak' )","('worn masks for extended periods', 'prevent', 'adverse health reactions')",Conflicting Evidence/Cherrypicking,1.0,0.4563766419887543,0.5503731369972229,0.5813589096069336,NN,NN,0.821811086201663,0.821811086201663,cause,,NN, prevent., cause.
There is a correlation between vitamin D deficiencies and higher COVID-19 mortality rates,"Aside from building healthy bones, vitamin D can boost the immune system by suppressing what’s called a cytokine storm — severe inflammation that occurs when the immune system becomes overactive and releases too many cytokine proteins.",Abstractive,"('vitamin d deficiencies', 'cause', 'higher covid-19 mortality rates')","('cytokine storm', 'cause', 'inflammation')",Supported,1.0,0.6508909463882446,0.6330275535583496,0.6149938106536865,NN,PN,0.8149500667072971,0.8149500667072971,cause,,NN, cause., cause.
There is a correlation between vitamin D deficiencies and higher COVID-19 mortality rates,"Backman said cytokine storms may contribute to COVID-19 deaths because the storms can damage people’s lungs. An April 17, 2020 article on WebMD also indicated that patients with severe COVID-19 symptoms had high levels of cytokines in their system.

The idea, then, is that vitamin D could suppress a catastrophic immune response and prevent people from developing severe COVID-19 symptoms that lead to death.",Abstractive,"('vitamin d deficiencies', 'cause', 'higher covid-19 mortality rates')","('cytokine storms', 'cause', ' COVID-19 deaths ')",Supported,1.0,0.7180992960929871,0.7043306827545166,0.7537767291069031,NN,PN,0.8458964083640126,0.8458964083640126,cause,,NN, prevent., cause.
Farm Bankruptcies in the USA Increased by 20%  in the past year due largely to Trump's Unmitigated disaster of a tariff war.,"Chapter 12 farm bankruptcies continue to increase as farmers and ranchers struggle with a prolonged downturn in the farm economy that’s been made worse by unfair retaliatory tariffs on U.S. agriculture as well as two consecutive years of adverse planting, growing and harvesting conditions.",Extractive,"('unmitigated disaster of a tariff war', 'cause', ' farm bankruptcies in the usa increased by 20%')","('unfair retaliatory tariffs on U.S', 'cause', 'farm bankruptcies continue to increase')",Supported,6.0,0.7611360549926758,0.7607325315475464,0.8068316578865051,NN,NN,0.8662678483565003,0.8662678483565003,cause,,NN, cause., cause.
Farm Bankruptcies in the USA Increased by 20%  in the past year due largely to Trump's Unmitigated disaster of a tariff war.,"The continued increase in Chapter 12 filings was not unanticipated given the multi-year downturn in the farm economy, record farm debt, headwinds on the trade front and recent changes to the bankruptcy rules in 2019’s Family Farmer Relief Act, which raised the debt ceiling to $10 million",Extractive,"('unmitigated disaster of a tariff', 'cause', 'war farm bankruptcies in the usa increased by 20%')","('family farmer relief', 'cause', 'act raised the debt ceiling to $10 million')",Supported,6.0,0.6384799480438232,0.5803255438804626,0.6409852504730225,PN,NN,0.8529559290147368,0.8529559290147368,cause,,NN, cause., enable.
Corona Virus is less likely to spread in a retail setting because people are moving around frequently and not just sitting or standing indoors for long periods of time during Worships.,"experts believe you’re less at risk than someone sitting still in a confined space. ""I would not worry about walking by someone,"" Dr. Amesh Adalja, an infectious disease specialist at Johns Hopkins University, told Slate. 

""Even in a health care setting, contact is defined by being near someone for a certain amount of time,"" Adalja said. ""I would not worry about these fleeting encounters. The virus isn’t airborne—droplets need to get from one person to another.""",Abstractive,"('moving', 'prevent', 'spread')","('walking', 'prevent', 'risk')",Supported,1.0,0.3511614203453064,0.3921511471271515,0.4087477624416351,PP,PN,0.8647990571140554,0.8647990571140554,cause,,NN, enable., enable.
flu vaccines make people more vulnerable to infections,the CDC says that influenza vaccines make people stronger by cutting the risk of flu illness by between 40 and 60 percent.,Abstractive,"('flu vaccines', 'cause', 'vulnerable to infections')","('influenza vaccines', 'cause', 'make people stronger')",Refuted,6.0,0.7378108501434326,0.721149206161499,0.6993699073791504,NN,PN,0.8754864614643338,0.8754864614643338,cause,,PN, no relation., prevent.
Over 100 nurses in Rajasthan’s Jhalawar (India) resigned because of misconduct by members of the Tablighi Jamaat (non-political organisation) and claim that they were spitting on them.,the reports mentioned that the nurses had resigned due to administration issues and to rebel against low wages. The nurses also mentioned in their resignation letter that the healthcare workers weren't being given proper protection gear or PPE kits; they also mentioned how they were willing to come back to work if the conditions improved and if PPE kits were provided.,Extractive,"('misconduct by members of the tablighi jamaat (non-political organisation)', 'cause', 'over 100 nurses in rajasthan’s jhalawar (india) resigned')","('administration issues', 'cause', 'the nurses had resigned')",Refuted,1.0,0.6795361042022705,0.6465497016906738,0.6488039493560791,NN,NN,0.8129208943800776,0.8129208943800776,cause,,NN, cause., cause.
"The Safer at Home plan, implemented in Wisconsin, US during the COVID-19 pandemic, has prevented the death of at least 300 Wisconsinites.","In an effort to limit all nonessential interactions between people as the number of novel coronavirus cases across the state increase, Wisconsin Gov. Tony Evers will issue a ""safer at home"" order on Tuesday, he announced via Twitter Monday morning, which would mandate people can only leave their homes for essential needs ""like going to the doctor, grabbing groceries, or getting medication.""",Extractive,"('safer at home plan', 'prevent', ' covid-19 pandemic')","('safer at home plan', 'enable', ' limit all nonessential interactions')",Supported,1.0,0.7397734522819519,0.7937121391296387,0.7248460054397583,PP,NN,0.8471386930647782,0.8471386930647782,cause,,NN, no relation., prevent.
Being long term unemployed for a year or over nearly halves your chances of ever getting back into employment.,"Recent analysis suggests people unemployed for one to two years have a 44 per cent smaller chance of finding work within the next year than people unemployed for less than three months. For those unemployed longer, the likelihood is even slimmer.",Extractive,"('unemployed', 'prevent', 'getting')","('unemployed', 'cause', 'smaller chance of finding work ')",Supported,6.0,0.6983400583267212,0.7202651500701904,0.7019304633140564,NN,PN,0.8722896346574274,0.8722896346574274,cause,,NN, no relation., cause.
The U.S. government is planning to force Americans to take vaccinations during the coronavirus pandemic with the help of Bill Gates.,"NEW YORK -- The World Health Organization (WHO), UNICEF, the National Institute of Allergy and Infectious Diseases (NIAID) and the Bill & Melinda Gates Foundation have announced a collaboration to increase coordination across the international vaccine community and create a Global Vaccine Action Plan.  This plan will build on the successes of current work to achieve key milestones in the discovery, development and delivery of lifesaving vaccines to the most vulnerable populations in the poorest countries over the next decade.

The collaboration follows the January 2010 call by Bill and Melinda Gates for the next ten years to be the Decade of Vaccines.  The Global Vaccine Action Plan will enable greater coordination across all stakeholder groups – national governments, multilateral organizations, civil society, the private sector and philanthropic organizations -- and will identify critical policy, resource, and other gaps that must be addressed to realize the life-saving potential of vaccines. 

The structure of the Decade of Vaccines Collaboration includes a Leadership Council to provide oversight for the planning effort, a Steering Committee that holds the primary responsibility for developing the action plan, an International Advisory Committee to assist the Leadership Council in evaluating the action plan, and a Secretariat for administrative support. 

Prof. Pedro Alonso, Director for the Institute for Global Health of Barcelona and Dr. Christopher Elias, President and CEO of PATH, have been appointed co-chairs of the Steering Committee and the Secretariat. 

“Vaccines are miracles,” said Prof. Alonso, “For just a few dollars per child, vaccines prevent disease and disability for a lifetime. We must make sure that people understand that vaccines are one of the best investments in health.”                                                             

The Leadership Council is comprised of:

    Dr. Mar",Extractive,"('force', 'intend', 'take')","('plan', 'enable', 'coordination')",Refuted,1.0,0.5619503259658813,0.5820866823196411,0.5987277030944824,PP,PP,0.7897326168957193,0.7897326168957193,cause,,PP, enable., enable.
